"date","adjusted_close_us","adjusted_close_intl","wage_growth","inflation","bond_returns","short_term_debt_returns"
2009-12-01,73.7857,35.9094,22.36,217.347,5.26,0.05
2009-12-31,73.7857,35.9094,22.36,217.347,5.26,0.05
2010-01-01,73.7857,35.9094,22.41,217.488,5.26,0.06
2010-01-29,68.9888,34.0906,22.41,217.488,5.26,0.06
2010-02-01,68.9888,34.0906,22.45,217.281,5.35,0.11
2010-02-26,72.001,34.1815,22.45,217.281,5.35,0.11
2010-03-01,72.001,34.1815,22.46,217.353,5.27,0.15
2010-03-31,72.6182,36.3641,22.46,217.353,5.27,0.15
2010-04-01,72.6182,36.3641,22.49,217.403,5.29,0.16
2010-04-30,73.0429,35.3443,22.49,217.403,5.29,0.16
2010-05-01,73.0429,35.3443,22.53,217.29,4.96,0.16
2010-05-28,71.2972,31.3883,22.53,217.29,4.96,0.16
2010-06-01,71.2972,31.3883,22.53,217.199,4.88,0.12
2010-06-30,70.2841,30.7373,22.53,217.199,4.88,0.12
2010-07-01,70.2841,30.7373,22.59,217.605,4.72,0.16
2010-07-30,73.0845,34.306,22.59,217.605,4.72,0.16
2010-08-01,73.0845,34.306,22.62,217.923,4.49,0.16
2010-08-31,70.4349,33.0041,22.62,217.923,4.49,0.16
2010-09-01,70.4349,33.0041,22.67,218.275,4.53,0.15
2010-09-30,76.733,36.2953,22.67,218.275,4.53,0.15
2010-10-01,76.733,36.2953,22.74,219.035,4.68,0.13
2010-10-29,82.1445,37.6765,22.74,219.035,4.68,0.13
2010-11-01,82.1445,37.6765,22.73,219.59,4.87,0.14
2010-11-30,81.2795,35.8591,22.73,219.59,4.87,0.14
2010-12-01,81.2795,35.8591,22.76,220.472,5.02,0.14
2010-12-31,84.3247,38.8354,22.76,220.472,5.02,0.14
2011-01-01,84.3247,38.8354,22.86,221.187,5.04,0.15
2011-01-31,93.0812,39.6492,22.86,221.187,5.04,0.15
2011-02-01,93.0812,39.6492,22.87,221.898,5.22,0.13
2011-02-28,93.3764,41.0567,22.87,221.898,5.22,0.13
2011-03-01,93.3764,41.0567,22.87,223.046,5.13,0.1
2011-03-31,94.0628,40.0761,22.87,223.046,5.13,0.1
2011-04-01,94.0628,40.0761,22.91,224.093,5.16,0.06
2011-04-29,98.3948,42.3307,22.91,224.093,5.16,0.06
2011-05-01,98.3948,42.3307,22.98,224.806,4.96,0.04
2011-05-31,97.8757,41.3969,22.98,224.806,4.96,0.04
2011-06-01,97.8757,41.3969,23.01,224.806,4.99,0.04
2011-06-30,99.3937,40.9033,23.01,224.806,4.99,0.04
2011-07-01,99.3937,40.9033,23.1,225.395,4.93,0.04
2011-07-29,105.3614,39.9307,23.1,225.395,4.93,0.04
2011-08-01,105.3614,39.9307,23.07,226.106,4.37,0.02
2011-08-31,100.0517,36.4348,23.07,226.106,4.37,0.02
2011-09-01,100.0517,36.4348,23.12,226.597,4.09,0.01
2011-09-30,101.7744,32.4968,23.12,226.597,4.09,0.01
2011-10-01,101.7744,32.4968,23.2,226.75,3.98,0.02
2011-10-31,107.4548,35.6254,23.2,226.75,3.98,0.02
2011-11-01,107.4548,35.6254,23.19,227.169,3.87,0.01
2011-11-30,109.8543,34.8501,23.19,227.169,3.87,0.01
2011-12-01,109.8543,34.8501,23.22,227.223,3.93,0.01
2011-12-30,107.4469,34.0785,23.22,227.223,3.93,0.01
2012-01-01,107.4469,34.0785,23.25,227.842,3.85,0.03
2012-01-31,112.5423,35.8743,23.25,227.842,3.85,0.03
2012-02-01,112.5423,35.8743,23.28,228.329,3.85,0.09
2012-02-29,115.4024,37.6082,23.28,228.329,3.85,0.09
2012-03-01,115.4024,37.6082,23.36,228.807,3.99,0.08
2012-03-30,122.3947,37.7664,23.36,228.807,3.99,0.08
2012-04-01,122.3947,37.7664,23.39,229.187,3.96,0.08
2012-04-30,121.4737,36.982,23.39,229.187,3.96,0.08
2012-05-01,121.4737,36.982,23.4,228.713,3.8,0.09
2012-05-31,113.6331,32.8607,23.4,228.713,3.8,0.09
2012-06-01,113.6331,32.8607,23.46,228.524,3.64,0.09
2012-06-29,115.2118,35.1968,23.46,228.524,3.64,0.09
2012-07-01,115.2118,35.1968,23.5,228.59,3.4,0.1
2012-07-31,115.4474,35.225,23.5,228.59,3.4,0.1
2012-08-01,115.4474,35.225,23.48,229.918,3.48,0.1
2012-08-31,115.272,36.3522,23.48,229.918,3.48,0.1
2012-09-01,115.272,36.3522,23.57,231.015,3.49,0.11
2012-09-28,122.7261,37.3385,23.57,231.015,3.49,0.11
2012-10-01,122.7261,37.3385,23.56,231.638,3.47,0.1
2012-10-31,115.0827,37.7436,23.56,231.638,3.47,0.1
2012-11-01,115.0827,37.7436,23.63,231.249,3.5,0.09
2012-11-30,112.9442,38.7968,23.63,231.249,3.5,0.09
2012-12-01,112.9442,38.7968,23.73,231.221,3.65,0.07
2012-12-31,113.8236,40.4917,23.73,231.221,3.65,0.07
2013-01-01,113.8236,40.4917,23.75,231.679,3.8,0.07
2013-01-31,120.6691,42.0015,23.75,231.679,3.8,0.07
2013-02-01,120.6691,42.0015,23.78,232.937,3.9,0.1
2013-02-28,119.8426,41.4567,23.78,232.937,3.9,0.1
2013-03-01,119.8426,41.4567,23.8,232.282,3.93,0.09
2013-03-28,127.2839,42.0015,23.8,232.282,3.93,0.09
2013-04-01,127.2839,42.0015,23.87,231.797,3.73,0.06
2013-04-30,120.863,44.1094,23.87,231.797,3.73,0.06
2013-05-01,120.863,44.1094,23.89,231.893,3.89,0.04
2013-05-31,124.7089,42.7777,23.89,231.893,3.89,0.04
2013-06-01,124.7089,42.7777,23.96,232.445,4.27,0.05
2013-06-28,114.5713,41.6235,23.96,232.445,4.27,0.05
2013-07-01,114.5713,41.6235,23.98,232.9,4.34,0.04
2013-07-31,116.9274,43.8391,23.98,232.9,4.34,0.04
2013-08-01,116.9274,43.8391,24.02,233.456,4.54,0.04
2013-08-30,109.8222,42.9819,24.02,233.456,4.54,0.04
2013-09-01,109.8222,42.9819,24.06,233.544,4.64,0.02
2013-09-30,111.5756,46.3459,24.06,233.544,4.64,0.02
2013-10-01,111.5756,46.3459,24.09,233.669,4.53,0.05
2013-10-31,107.9785,47.8562,24.09,233.669,4.53,0.05
2013-11-01,107.9785,47.8562,24.16,234.1,4.63,0.07
2013-11-29,108.8356,48.1177,24.16,234.1,4.63,0.07
2013-12-01,108.8356,48.1177,24.18,234.719,4.62,0.07
2013-12-31,113.6148,49.1544,24.18,234.719,4.62,0.07
2014-01-01,113.6148,49.1544,24.23,235.288,4.49,0.04
2014-01-31,107.0185,46.6012,24.23,235.288,4.49,0.04
2014-02-01,107.0185,46.6012,24.33,235.547,4.45,0.05
2014-02-28,112.7711,49.4584,24.33,235.547,4.45,0.05
2014-03-01,112.7711,49.4584,24.32,236.028,4.38,0.05
2014-03-31,117.229,49.2313,24.32,236.028,4.38,0.05
2014-04-01,117.229,49.2313,24.34,236.468,4.24,0.03
2014-04-30,119.6529,50.0518,24.34,236.468,4.24,0.03
2014-05-01,119.6529,50.0518,24.4,236.918,4.16,0.03
2014-05-30,112.9302,50.8503,24.4,236.918,4.16,0.03
2014-06-01,112.9302,50.8503,24.46,237.231,4.25,0.04
2014-06-30,111.0374,51.3191,24.46,237.231,4.25,0.04
2014-07-01,111.0374,51.3191,24.48,237.498,4.16,0.03
2014-07-31,117.4079,49.983,24.48,237.498,4.16,0.03
2014-08-01,117.4079,49.983,24.54,237.46,4.08,0.03
